termin,pojazd,kto,lotnisko_z,lotnisko_do,latitude_deg_z,longitude_deg_z,iso_country_z,city_z,latitude_deg_do,longitude_deg_do,iso_country_do,city_do
05.2014,EMB,DT,EPWA,LZIB,52.1656990051,20.967100143399996,PL,Warsaw,48.17020034790039,17.21269989013672,SK,Bratislava
05.2014,EMB,DT,LZIB,EPKK,48.17020034790039,17.21269989013672,SK,Bratislava,50.077702,19.7848,PL,Kraków
05.2014,EMB,DT,EPKK,EPWA,50.077702,19.7848,PL,Kraków,52.1656990051,20.967100143399996,PL,Warsaw
05.2014,EMB,DT,EPWA,EPRZ,52.1656990051,20.967100143399996,PL,Warsaw,50.1100006104,22.0189990997,PL,Rzeszów
05.2014,EMB,DT,EPRZ,EPWA,50.1100006104,22.0189990997,PL,Rzeszów,52.1656990051,20.967100143399996,PL,Warsaw
05.2014,EMB,DT,EPWA,LIRN,52.1656990051,20.967100143399996,PL,Warsaw,40.886002,14.2908,IT,Nápoli
05.2014,EMB,DT,LIRN,LIRF,40.886002,14.2908,IT,Nápoli,41.8002778,12.2388889,IT,Rome
05.2014,EMB,DT,LIRF,EPWA,41.8002778,12.2388889,IT,Rome,52.1656990051,20.967100143399996,PL,Warsaw
05.2014,EMB,DT,EPWA,EBBR,52.1656990051,20.967100143399996,PL,Warsaw,50.901401519800004,4.48443984985,BE,Brussels
05.2014,EMB,DT,EBBR,EPWA,50.901401519800004,4.48443984985,BE,Brussels,52.1656990051,20.967100143399996,PL,Warsaw
05.2014,EMB,DT,EPZG,EPWR,52.138500213600004,15.7986001968,PL,Babimost,51.1026992798,16.885799408,PL,Wrocław
05.2014,EMB,DT,EPWR,EPKT,51.1026992798,16.885799408,PL,Wrocław,50.4743,19.08,PL,Katowice
05.2014,EMB,DT,EPKT,EPGD,50.4743,19.08,PL,Katowice,54.377601623535156,18.46619987487793,PL,Gdańsk
05.2014,EMB,DT,EPGD,EPWA,54.377601623535156,18.46619987487793,PL,Gdańsk,52.1656990051,20.967100143399996,PL,Warsaw
05.2014,EMB,DT,EPWA,EBBR,52.1656990051,20.967100143399996,PL,Warsaw,50.901401519800004,4.48443984985,BE,Brussels
05.2014,EMB,DT,EBBR,EPSC,50.901401519800004,4.48443984985,BE,Brussels,53.584701538100006,14.902199745199999,PL,Goleniow
05.2014,EMB,DT,EPSC,EPWA,53.584701538100006,14.902199745199999,PL,Goleniow,52.1656990051,20.967100143399996,PL,Warsaw
05.2014,EMB,DT,EPWA,EPWR,52.1656990051,20.967100143399996,PL,Warsaw,51.1026992798,16.885799408,PL,Wrocław
05.2014,EMB,DT,EPWR,EPWA,51.1026992798,16.885799408,PL,Wrocław,52.1656990051,20.967100143399996,PL,Warsaw
06.2014,EMB,DT,EPWA,EPKT,52.1656990051,20.967100143399996,PL,Warsaw,50.4743,19.08,PL,Katowice
06.2014,EMB,DT,EPKT,EPWR,50.4743,19.08,PL,Katowice,51.1026992798,16.885799408,PL,Wrocław
06.2014,EMB,DT,EPWR,EPWA,51.1026992798,16.885799408,PL,Wrocław,52.1656990051,20.967100143399996,PL,Warsaw
06.2014,EMB,DT,EPWA,EPGD,52.1656990051,20.967100143399996,PL,Warsaw,54.377601623535156,18.46619987487793,PL,Gdańsk
06.2014,EMB,DT,EPGD,EPWA,54.377601623535156,18.46619987487793,PL,Gdańsk,52.1656990051,20.967100143399996,PL,Warsaw
