L.p.,Rodzaj statku powietrznego ,Termin,Trasa przelotu,Kto
135.,EMB,04.09.2017,RZE-WAW,BS
136.,EMB,05-06.09.2017,WAW-KRK-WAW,BS
137.,CASA,08.09.2017,EPWA-EPKK,BS
138.,CASA,11.09.2017,EPKK-EPWA,BS
139.,CASA,15.09.2017,EPWA-EPKK,BS
140.,CASA,18.09.2017,EPKK-EPWA,BS
141.,EMB,19-20.09.2017,WAW-SOF-WAW,BS
142.,CASA,25.09.2017,EPKK-EPWA,BS
143.,EMB,28-29.09.2017,WAW-TLL-KRK,BS
144.,CASA,02.10.2017,EPKK-EPWA,BS
145.,EMB,09.10.2017,KRK-WAW,BS
146. CASA,146. CASA,13.10.2017,EPWA-LZIB-EPKK,BS
147. EMB,147. EMB,18-20.10.2017,WAW-BRU-KRK,BS
148. CASA,148. CASA,23.10.2017,EPKK-EPWA,BS
149. CASA,149. CASA,31.10.2017,EPWA-EPKK,BS
150. CASA,150. CASA,05.11.2017,EPKK-EPWA,BS
151. EMB,151. EMB,11.11.2017,WAW-KRK,BS
152. EMB,152. EMB,12.11.2017,KRK-WAW,BS
153. EMB,153. EMB,16.11.2017,WAW-RZE,BS
154. EMB,154. EMB,16-17.11.20107,RZE-GOT-KRK,BS
155. CASA,155. CASA,20.11.2017,EPKK-EPWA,BS
156. EMB,156. EMB,22-23.11.2017,WAW-LBG-WAW,BS
157. EMB,157. EMB,24.11.2017,WAW-BRU-KRK,BS
158. EMB,158. EMB,26.11.2017,KRK-BZG-WAW,BS
159. EMB,159. EMB,27.11.2017,WAW-BUD-WAW,BS
160. EMB,EMB,28.11-01.12.2017 ,WAW-CMN-TUN-WAW,BS
161. CASA,161. CASA,01.12.2017,EPWA-EPKT,BS
162. CASA,162. CASA,03.12.2017,EPKK-EPWA,BS
163. EMB,163. EMB,08.12.2017,WAW-KRK,BS
164. CASA,164. CASA,10.12.2017,EPKK-EPWA,BS
 1.,EMB-175,14-15.12.2017,WAW-BRU-WAW,MM
 2.,EMB-175,16-17.12.2017,WAW-GDN-SZZ-WAW,MM
 3.,EMB-175,18.12.2017,WAW-KRK-WAW,MM
 4.,EMB-175,21.12.2017,WAW-KTW-WAW,MM
 5.,EMB-175,22-23.12.2017,WAW-WRO-WAW,MM
 6.,EMB-175,03.01.2018,WAW-BUD-WAW,MM
 7.,EMB-175,09-10.01.2018,WAW-BRU-WAW,MM
 8.,EMB-175,23-26.01.2018 ,WAW-ZRH-BUD-WRO-WAW,MM
 9.,CASA,26.01.2018,EPWR-EPWA,MM
10.,EMB-175,27.01.2018,WAW-KRK-WAW,MM
11.,EMB-175,02.02.2018,WAW-RZE-WAW,MM
12.,EMB-175,09.02.2018,WAW-SZY-WAW,MM
13.,EMB-175,11.02.2018,WAW-LUZ-WAW,MM
14.,EMB-175,12-13.02.2018,WAW-BEY-WAW,MM
15.,EMB-175,16.02.2018,WAW-TXL-WAW,MM
16.,EMB-175,17.02.2018,WAW-MUC-WRO-WAW,MM
17.,EMB-175,18.02.2018,WAW-KRK-WAW,MM
18.,EMB-175,22-23.02.2018,WAW-BRU-WAW,MM
19.,EMB-175,27.02.2018,WAW-POZ-WAW,MM
20.,EMB-175,08-09.03.2018,WAW-BRU-VNO-WAW,MM
21.,EMB-175,14.03.2018,WAW-WRO-WAW,MM
22.,EMB-175,18.03.2018,WAW-KTW-WAW,MM
23.,EMB-175,21.03.2018,WAW-RZE-WAW,MM
24.,EMB-175,22-23.03.2018,WAW-BRU-WAW,MM
25.,EMB-175,29.03.2018,WAW-SZY-WAW,MM
26.,CASA,30.03.2018,EPWA-EPWR-EPWA,MM
27.,EMB-175,06.04.2018,WAW-BUD-WAW,MM
28.,EMB-175,15.04.2018,WAW-KRK-WAW,MM
29.,EMB-175,18.04.2018,WAW-WRO-KRK-WAW,MM
30.,CASA,28.04.2018,EPWA-EPZG-EPOK-EPWA,MM
31.,EMB-175,02.05.2018,WAW-RZE-WAW,MM
32.,CASA,03.05.2018,EPWA-EPOK,MM
33.,EMB-175,05.05.2018,WAW-KTW-WAW,MM
34.,CASA,05.05.2018,EPOK-EPWA,MM
35.,EMB-175,15.05.2018,WAW-KTW-WAW,MM
36.,EMB-175,16-17.05.2018,WAW-SOF-WAW,MM
37.,EMB-175,20.05.2018,WAW-GDN-WAW,MM
38.,EMB-175,23.05.2018,WAW-WRO-WAW,MM
39.,EMB-175,26.05.2018,LUZ-WRO,MM
40.,EMB-175,30.05.2018,WAW-RZE-WAW,MM
41.,EMB-175,02.06.2018,WAW-SZZ-WRO-WAW,MM
42.,EMB-175,03.06.2018,WAW-PLQ-TLL-WAW,MM
43.,EMB-175,04.06.2018,WAW-CIA-WAW,MM
44.,EMB-175,09.06.2018,WAW-WRO-WAW,MM
45.,EMB-175,13.06.2018,WAW-KRK-WAW,MM
46.,EMB-175,16.06.2018,WAW-SZZ-WMI,MM
47.,CASA,18.06.2018,EPWA-EPKK-EPWA,MM
48.,EMB-175,19.06.2018,WAW-TXL-WAW,MM
49.,EMB-175,21.06.2018,WAW-BUD-WAW,MM
50.,CASA,22.06.2018,EPWA-EPWR-EPWA,MM
51.,CASA,25.06.2018,EPWA-EPOK-EPRA,MM
52.,EMB-175,28-29.06.2018,WAW-BRU-WAW,MM
53.,EMB-175,30.06.2018,WAW-BZG-RZE-WAW,MM
54.,EMB-175,03-04.07.2018,WAW-SXB-WAW,MM
55.,EMB-175,06.07.2018,WAW-KLV-WAW,MM
56.,EMB-175,06.07.2018,WAW-GDN,MM
57.,CASA,08.07.2018,EPGD-EPKT,MM
58.,CASA,09.07.2018,EPWR-EPWA,MM
59.,EMB-175,10.07.2018,WAW-LTN-WAW,MM
60.,EMB-175,13.07.2018,WAW-SZY-WAW,MM
61.,CASA,15.07.2018,EPOK-EPLB-EPOK,MM
62.,CASA,16.07.2018,EPOK-EPWA,MM
63.,EMB-175,18.07.2018,BZG-KRK-WAW,MM
64.,CASA,23.07.2018,EPOK-EPWA,MM
65.,CASA,27.07.2018,EPWA-EPPO,MM
66.,EMB-175,31.07.2018,WAW-IEG-WAW,MM
67.,EMB-175,04.08.2018,GDN-KRK-GDN,MM
68. Gulfstream G-550,68. Gulfstream G-550,06.08.2018,EPOK-EPSC-EPKK-EPOK,MM
69.,EMB-175,10.08.2018,GDN-WAW-GDN,MM
70.,EMB-175,15.08.2018,WAW-RIX-WAW,MM
71.,EMB-175,15.08.2018,GDN-WAW-GDN,MM
72. Gulfstream G-550,72. Gulfstream G-550,17.08.2018,EPOK-EPWA-EPOK,MM
73. Gulfstream G-550,73. Gulfstream G-550,19.08.2018,EPOK-EPWA-EPKK-EPWA,MM
74. Gulfstream G-550,74. Gulfstream G-550,23.08.2018,EPWA-EPBY,MM
75.,CASA,27.08.2018,EPGD-EPWA,MM
76.,EMB-175,29.08.2018,WAW-SZZ-WAW,MM
77. Gulfstream G-550,77. Gulfstream G-550,31.08.2018,EPWA-EPGD,MM
78.,CASA,01.09.2018,EPGD-EPWA,MM
79.,EMB-175,03.09.2018,WAW-KTW-WAW,MM
80.,EMB-175,05-06.09.2018,WAW-KRK-KTW-WAW,MM
81. Gulfstream G-550,81. Gulfstream G-550,08.09.2018,EPWA-EPWR,MM
82.,W-3 Sokół,08.09.2018,EPWR-Kłodzko (JW.)-EPWR,MM
83. Gulfstream G-550,83. Gulfstream G-550,13.09.2018,EPWA-EPPO,MM
84.,EMB-175,14.09.2018,POZ-KRK-WAW,MM
85.,EMB-175,15.09.2018,WAW-IEG,MM
86.,EMB-175,16.09.2018,SZZ-WAW,MM
87.,EMB-175,17.09.2018,WAW-SZZ-WAW,MM
88.,EMB-175,18.09.2018,WAW-OTP-KRK-WAW,MM
89.,EMB-175,18.09.2018,KRK-WAW,MM
90.,EMB-175,19-20.09.2018,KTW-LNZ-WAW,MM
91.,EMB-175,19.09.2018,WAW-KTW,MM
92.,Śmigłowiec W-3,21.09.2018,EPWA-Ostróda-EPWA,MM
93. Gulfstream G-550,93. Gulfstream G-550,23.09.2018,EPWA-EPLU,MM
94.,W-3 Sokół,27.09.2018,EPWA-EPKA-EPWA,MM
95.,EMB-175,28.09.2018,WAW-POZ-WAW,MM
96. Gulfstream G-550,96. Gulfstream G-550,30.09.2018,EPWR-EPBY,MM
97. Gulfstream G-550,97. Gulfstream G-550,01.10.2018,EPWA-EPLB,MM
98.,EMB-175,01.10.2018,LUZ-WAW,MM
99.,Gulfstream G-550 ,03-05.10.2018,EPWA-KTEB-EPWA,MM
100.,Śmigłowiec W-3,05.10.2018,EPWA-Białystok (aeroklub)-EPWA,MM
101.,Gulfstream G-550,06.10.2018,EPWA-EPLB,MM
102. Gulfstream G-550,102. Gulfstream G-550,07.10.2018,EPWA-EPRZ-EPWA,MM
103.,Gulfstream G-550,09.10.2018,EPWA-EPKK-EPWA,MM
104.,Śmigłowiec W-3,10.10.2018,EPWA-Białystok (aeroklub),MM
105.,EMB-175,12.10.2018,WAW-POZ,MM
106.,Śmigłowiec W-3,12.10.2018,EPPO-EPRU,MM
107.,EMB-175,14.10.2018,WAW-KTW-KRK-WAW,MM
108.,EMB-175,17-19.10.2018,WAW-BRU-WMI,MM
109.,Gulfstream G-550,20.10.2018,EPWA-EPWR-EPWA,MM
110.,EMB-175,25.10.2018,WAW-KRK-WAW,MM
111.,EMB-175,27.10.2018,WAW-PRG-LUZ-WAW,MM
112.,Gulfstream G-550,29.10.2018,EPWA-EPKK-EPWA,MM
113.,EMB-175,30.10.2018,WAW-BZG,MM
114.,Gulfstream G-550,31.10.2018,EPWA-EPKK-EPKT-EPWA,MM
115.,EMB-175,12.11.2018,KTW-WAW,MM
116.,CASA,13.11.2018,EPKK-EPCE-EPWA,MM
