"","ID","Title","Year","Rating.x","Runtime","Genre","Director","Metacritic","imdbRating","Language","Country","Oscars","Rating.y","Meter","userMeter","userRating","BoxOffice"
"9467",1015968,"All in This Tea",2007,"",70,"Documentary","Les Blank, Gina Leibrecht",NA,7.2,"English, Mandarin","USA",0,7,85,79,3.8,NA
"9468",1015971,"The Boys: The Sherman Brothers' Story",2009,"PG",101,"Documentary","Gregory V. Sherman, Jeff Sherman",78,7.6,"English","USA",0,7.2,89,86,3.7,NA
"9469",1016075,"Fame",2009,"PG",107,"Comedy, Drama, Musical","Kevin Tancharoen",39,4.9,"English","USA",0,4.4,25,36,3,22400000
"9470",1016083,"Off Jackson Avenue",2008,"",80,"Crime, Drama, Thriller","John-Luke Montias",46,7.8,"English, Cantonese, Japanese, Spanish, Mandarin, Albanian, Russian","USA",0,5.6,63,75,2.5,NA
"9471",1016301,"Fermat's Room",2007,"",92,"Mystery, Thriller","Luis Piedrahita, Rodrigo Sopeña",NA,6.7,"Spanish","Spain",0,6.2,70,53,3.3,NA
"9472",1016321,"Adrift",2009,"",97,"Drama","Heitor Dhalia",NA,6.9,"Portuguese, French","Brazil",0,5.3,64,62,3.2,NA
"9473",1017428,"Captain Abu Raed",2007,"",102,"Drama","Amin Matalqa",NA,7.3,"Arabic, French, Italian","Jordan",0,6.6,76,80,3.9,NA
"9474",1017451,"The Runaways",2010,"R",106,"Biography, Drama, Music","Floria Sigismondi",65,6.6,"English","USA",0,6.2,69,55,3.3,2e+06
"9475",1017460,"Splice",2009,"R",104,"Horror, Sci-Fi","Vincenzo Natali",66,5.8,"English, French","Canada, France, USA",0,6.6,74,37,2.6,1.7e+07
"9476",1017464,"The Tortured",2010,"R",79,"Horror, Thriller","Robert Lieberman",9,5.5,"English","USA, Canada",0,2.7,6,35,2.7,NA
"9477",1018785,"The Sisterhood of the Traveling Pants 2",2008,"PG-13",117,"Comedy, Drama, Romance","Sanaa Hamri",63,6.2,"English, Greek","USA, Greece",0,6,64,66,3.4,4.4e+07
"9478",1018818,"Assassination of a High School President",2008,"R",93,"Comedy, Crime, Mystery","Brett Simon",NA,6.4,"English","USA",0,5.4,50,46,2.9,NA
"9479",1018830,"Yonkers Joe",2008,"R",101,"Drama","Robert Celestino",48,6.5,"English","USA",0,5.2,52,51,3.4,NA
"9480",1018887,"Dreams with Sharp Teeth",2008,"",96,"Documentary, Biography","Erik Nelson",64,7.5,"English","USA",0,7.8,96,86,4,NA
"9481",1019452,"A Serious Man",2009,"R",106,"Comedy, Drama","Ethan Coen, Joel Coen",79,7,"English, Yiddish, Hebrew","USA, UK, France",0,7.9,89,67,3.5,9200000
"9482",1020530,"Eden Lake",2008,"R",91,"Horror, Thriller","James Watkins",NA,6.9,"English","UK",0,6.7,83,66,3.4,NA
"9483",1020558,"Centurion",2010,"R",97,"Action, Adventure, Drama","Neil Marshall",62,6.4,"English, Scottish Gaelic","UK, France",0,5.5,59,43,3.1,1e+05
"9484",1020773,"Certified Copy",2010,"Unrated",106,"Drama","Abbas Kiarostami",82,7.2,"French, English, Italian","France, Italy, Belgium, Iran",0,7.9,88,70,3.6,1300000
"9485",1020876,"Under the Sea 3D",2009,"G",40,"Documentary","Howard Hall",77,7.6,"English","USA, Canada",0,7.3,92,73,3.6,33800000
"9486",1020885,"Vampire Killers",2009,"R",86,"Action, Comedy, Horror","Phil Claydon",NA,5.2,"English","UK",0,4,27,33,2.7,NA
"9487",1020936,"August Evening",2007,"PG-13",128,"Drama","Chris Eska",68,7,"Spanish","USA",0,7.1,91,76,3.8,NA
"9488",1020938,"Babies",2010,"PG",79,"Documentary","Thomas Balmès",63,7,"English, Japanese, Mongolian","France",0,6.5,69,61,3.3,6e+06
"9489",1020950,"Eden",2008,"",83,"Drama","Declan Recks",63,6.3,"English","Ireland",0,6.4,72,47,3.4,NA
"9490",1020972,"Blind Mountain",2007,"",95,"Drama","Yang Li",60,7.4,"Mandarin","China",0,6.7,83,81,3.9,NA
"9491",1022603,"(500) Days of Summer",2009,"PG-13",95,"Comedy, Drama, Romance","Marc Webb",76,7.8,"English, French, Swedish","USA",0,7.6,86,84,3.8,32100000
"9492",1022606,"Lion's Den",2008,"Not Rated",113,"Drama","Pablo Trapero",NA,7.1,"Spanish, French","Argentina, South Korea, Brazil, Spain",0,7.3,89,70,3.3,NA
"9493",1022885,"The Scouting Book for Boys",2009,"",93,"Drama, Thriller","Tom Harper",NA,6.6,"","UK",0,6,61,63,3.4,NA
"9494",1023111,"Never Back Down",2008,"PG-13",110,"Action, Drama, Sport","Jeff Wadlow",39,6.6,"English","USA",0,4.4,22,34,2.9,24800000
"9495",1023114,"The Way Back",2010,"PG-13",133,"Adventure, Drama, History","Peter Weir",66,7.3,"English, Russian, Polish","USA, United Arab Emirates, Poland",0,6.8,75,72,3.6,2700000
"9496",1023345,"Programming the Nation?",2011,"",105,"Documentary","Jeff Warrick",33,7.3,"English","USA",0,4.8,38,77,3.9,NA
"9497",1023441,"Coco Chanel & Igor Stravinsky",2009,"R",119,"Drama, Music","Jan Kounen",56,6.4,"French, Russian, English","France, Japan, Switzerland",0,5.7,52,42,3,1700000
"9498",1023481,"Step Up 2: The Streets",2008,"PG-13",98,"Drama, Music, Romance","Jon M. Chu",50,6.1,"English, Russian","USA",0,4.9,27,77,3.9,5.8e+07
"9499",1023490,"Il divo: La spettacolare vita di Giulio Andreotti",2008,"Not Rated",110,"Biography, Drama","Paolo Sorrentino",81,7.3,"Italian, English","Italy, France",0,7.5,92,80,3.8,NA
